"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"2007-P",66,1454.41363112628,"PIDXB","Los Angeles","Florida","USA","National Pumpkin Festival","1753 N","1536 X",390,1267,11,"Big Max",659.710926456105,"heavy"
"2675-P",76,1449.83588784188,"SKAEK","Los Angeles","Texas","Australia","National Pumpkin Festival","1789 L","1566 Z",416,1449,-1,"Fairytale",657.634497028739,"heavy"
"2548-P",79,1441.55684839841,"PVXXL","Los Angeles","Texas","USA","National Pumpkin Festival","1070 I","1543 N",400,1392,1,"Big Max",653.879187903102,"heavy"
"2225-P",86,1442.53448289819,"VPLVL","Houston","California","USA","Regional Pumpkin Festival","1252 X","1586 I",404,1367,6,"Blue Doll",654.322635453224,"heavy"
"2660-P",13,1454.27632356156,"BXQYP","Nottingham","Texas","China","Regional Pumpkin Festival","1260 Z","1345 G",419,1486,-7,"Big Max",659.648644792348,"heavy"
"2885-P",24,1446.97232638765,"NALOC","Nottingham","New York","USA","Local Pumpkin Festival","1374 L","1248 T",409,1432,-1,"Fairytale",656.335607400985,"heavy"
"2716-P",58,1447.9891503593,"ZOSXY","Los Angeles","California","USA","Local Pumpkin Festival","1693 N","1131 R",393,1322,10,"Big Max",656.796830996543,"heavy"
"2446-P",76,1437.04977034573,"HYOIW","Paris","New York","Australia","Regional Pumpkin Festival","1584 Y","1156 G",412,1426,4,"Big Max",651.834811685696,"heavy"
"2667-P",28,1432.38798074983,"WHZNW","Houston","Texas","China","National Pumpkin Festival","1507 K","1976 F",394,1292,14,"Fairytale",649.720259492679,"heavy"
"2451-P",55,1424.56318702362,"JFLPM","Nottingham","Texas","Australia","Local Pumpkin Festival","1115 C","1203 P",403,1372,4,"Ghost",646.170992758672,"heavy"
"2008-P",29,1427.83663102053,"VGIIG","New York","Texas","Australia","Regional Pumpkin Festival","1811 H","1744 R",397,1342,8,"Ghost",647.655801980536,"heavy"
"2617-P",4,1431.84290185776,"LQRVO","Paris","Florida","USA","Local Pumpkin Festival","1335 T","1186 M",395,1353,1,"Blue Doll",649.473015865979,"heavy"
"2817-P",62,1405.76500836946,"BPABN","Chicago","California","USA","Regional Pumpkin Festival","1293 Q","1859 N",394,1261,7,"Ghost",637.644282344096,"heavy"
"2782-P",21,1410.87271806225,"HWCPA","Houston","California","China","National Pumpkin Festival","1092 B","1433 X",404,1410,-3,"Big Max",639.961100490864,"heavy"
"2524-P",79,1407.63590845745,"PCEMM","Paris","Texas","USA","National Pumpkin Festival","1627 C","1323 L",397,1374,6,"Ghost",638.492908349752,"heavy"
"2327-P",47,1400.13661757391,"MRDEJ","Chicago","Florida","USA","National Pumpkin Festival","1141 A","1569 T",402,1403,-4,"Fairytale",635.091287221715,"heavy"
"2885-P",94,1382.91080859583,"ZLIST","Paris","Florida","USA","National Pumpkin Festival","1637 U","1283 Y",385,1267,7,"Blue Doll",627.277791695628,"heavy"
"2700-P",17,1388.02817682736,"TSTCX","Chicago","Texas","Australia","National Pumpkin Festival","1498 Y","1933 I",391,1253,12,"Blue Doll",629.598990881875,"heavy"
"2976-P",83,1387.38758326508,"PSSIH","Chicago","California","Australia","Regional Pumpkin Festival","1841 Z","1276 U",397,1364,0,"Blue Doll",629.308422529513,"heavy"
"2165-P",99,1391.8211115934,"KAPTG","New York","Florida","China","National Pumpkin Festival","1138 Q","1678 J",412,1455,-4,"Blue Doll",631.319437153101,"heavy"
"2880-P",13,1385.3616830755,"HQYSF","Los Angeles","New York","USA","Local Pumpkin Festival","1739 X","1666 D",394,1260,8,"Blue Doll",628.389489660368,"heavy"
"2776-P",4,1381.53413035255,"XHBJV","Los Angeles","Florida","China","Regional Pumpkin Festival","1960 A","1453 U",394,1308,11,"Blue Doll",626.653340948007,"heavy"
"2052-P",43,1385.66188079491,"STAZD","Houston","California","China","Regional Pumpkin Festival","1504 Z","1703 N",383,1241,8,"Ghost",628.525657055498,"heavy"
"2375-P",29,1382.48237778619,"MARMN","New York","New York","USA","Local Pumpkin Festival","1054 A","1101 L",368,1127,19,"Ghost",627.083458749139,"heavy"
"2445-P",80,1365.71038999874,"GOKRG","Nottingham","California","USA","National Pumpkin Festival","1063 I","1686 G",408,1441,-4,"Blue Doll",619.47581305264,"heavy"
"2240-P",61,1365.81591765303,"VUQVZ","Los Angeles","New York","USA","Local Pumpkin Festival","1898 S","1694 E",373,1139,14,"Big Max",619.52367959149,"heavy"
"2591-P",81,1364.17658750433,"VLESG","Paris","New York","Australia","National Pumpkin Festival","1279 S","1714 O",389,1291,0,"Big Max",618.780091943507,"heavy"
"2126-P",35,1358.26482512243,"TMGAQ","Nottingham","New York","USA","Regional Pumpkin Festival","1156 S","1009 C",391,1318,0,"Fairytale",616.098561631573,"heavy"
"2916-P",70,1353.63103797007,"TEDUZ","Nottingham","New York","Australia","Regional Pumpkin Festival","1907 O","1458 A",390,1261,11,"Blue Doll",613.996711133298,"heavy"
"2078-P",31,1335.57417117059,"FGBGQ","Los Angeles","New York","Australia","Regional Pumpkin Festival","1886 B","1732 F",406,1419,-2,"Fairytale",605.806254120078,"heavy"
"2873-P",57,1332.21258602291,"CTCVZ","Paris","California","Australia","National Pumpkin Festival","1260 E","1435 F",394,1272,9,"Fairytale",604.281464744707,"heavy"
"2426-P",35,1325.84377063904,"XSBMV","New York","Florida","USA","National Pumpkin Festival","1467 E","1481 F",392,1299,3,"Ghost",601.392618678221,"heavy"
"2664-P",5,1325.00714319479,"TIZPP","Chicago","Texas","China","Regional Pumpkin Festival","1670 I","1040 P",393,1274,4,"Big Max",601.013130852657,"heavy"
"2433-P",45,1323.09798958153,"WCSXK","Los Angeles","Texas","Australia","Regional Pumpkin Festival","1750 C","1650 V",390,1284,8,"Big Max",600.147153339797,"heavy"
"2512-P",4,1316.53693692572,"TIJFW","Houston","New York","Australia","Regional Pumpkin Festival","1444 W","1013 W",374,1162,9,"Blue Doll",597.171109913462,"heavy"
"2195-P",86,1317.82639650255,"HWVQA","Los Angeles","California","Australia","Regional Pumpkin Festival","1362 G","1285 U",379,1206,6,"Ghost",597.755998939426,"heavy"
"2471-P",15,1311.13397972472,"ZQHRR","New York","New York","USA","National Pumpkin Festival","1660 H","1895 Y",394,1265,4,"Ghost",594.720369749595,"heavy"
"2220-P",4,1310.52299409825,"JDEQW","Paris","New York","Australia","National Pumpkin Festival","1658 N","1662 A",386,1227,4,"Blue Doll",594.443231331017,"heavy"
"2613-P",90,1305.86724839453,"XTIHO","Paris","California","China","National Pumpkin Festival","1777 D","1431 D",389,1219,8,"Big Max",592.331420601376,"heavy"
"2347-P",65,1299.74178470951,"ZCNTQ","Los Angeles","Texas","China","Regional Pumpkin Festival","1817 E","1159 Y",401,1367,-3,"Fairytale",589.552957008808,"heavy"
"2404-P",6,1301.22807002533,"BARFO","New York","Florida","China","National Pumpkin Festival","1267 G","1416 X",385,1244,-1,"Blue Doll",590.227124688275,"heavy"
"2665-P",36,1286.24098729603,"PYSIJ","Chicago","California","Australia","National Pumpkin Festival","1868 A","1311 Y",383,1173,13,"Blue Doll",583.429098308004,"heavy"
"2674-P",54,1286.23792871926,"OMXPV","Chicago","Texas","China","Local Pumpkin Festival","1418 W","1749 B",393,1336,-6,"Fairytale",583.427710960917,"heavy"
"2090-P",94,1285.0413527647,"DKCLI","Chicago","New York","China","Local Pumpkin Festival","1087 E","1786 R",385,1274,-2,"Fairytale",582.88495323735,"heavy"
"2224-P",26,1278.83425405528,"ONDET","Nottingham","Texas","USA","Local Pumpkin Festival","1985 W","1870 T",390,1237,2,"Fairytale",580.069460620559,"heavy"
"2934-P",66,1280.54892292712,"EKAIE","Paris","California","USA","Local Pumpkin Festival","1023 J","1106 T",389,1295,-6,"Ghost",580.847221338552,"heavy"
"2190-P",46,1265.44222337287,"YNBZH","Chicago","California","China","Regional Pumpkin Festival","1789 V","1829 J",384,1241,-1,"Big Max",573.994937679116,"heavy"
"2653-P",80,1265.38063589856,"OGDWV","New York","California","Australia","National Pumpkin Festival","1295 V","1780 Q",382,1213,2,"Ghost",573.967002070658,"heavy"
"2549-P",90,1262.08100210503,"VPHVR","New York","Texas","Australia","Local Pumpkin Festival","1958 X","1460 N",371,1099,11,"Fairytale",572.470313356863,"heavy"
"2683-P",68,1261.94394187164,"WUXCV","Houston","Texas","USA","Regional Pumpkin Festival","1773 E","1284 R",373,1146,12,"Big Max",572.408143880714,"heavy"
"2449-P",78,1260.344369472,"UCSUS","Houston","New York","China","National Pumpkin Festival","1312 W","1608 U",389,1273,1,"Blue Doll",571.68259004437,"heavy"
"2499-P",55,1251.35249576718,"HFEII","Nottingham","Florida","China","National Pumpkin Festival","1333 Y","1795 Q",385,1190,5,"Fairytale",567.603944736436,"heavy"
"2829-P",51,1248.46366136149,"LGYGD","Nottingham","New York","China","Local Pumpkin Festival","1576 O","1516 A",384,1222,5,"Big Max",566.293591490722,"heavy"
"2854-P",46,1246.26853205543,"OQUVB","Paris","California","China","National Pumpkin Festival","1429 F","1912 P",390,1240,0,"Big Max",565.297897585497,"heavy"
"2370-P",17,1237.85296442546,"PQTVI","Paris","New York","China","Local Pumpkin Festival","1303 Z","1566 F",381,1201,-1,"Blue Doll",561.480660316122,"heavy"
"2900-P",43,1235.27935357951,"UAKVI","Nottingham","Florida","USA","Regional Pumpkin Festival","1201 N","1320 A",380,1221,6,"Big Max",560.31329007207,"heavy"
"2033-P",22,1238.47991542239,"JINLO","Nottingham","California","USA","Local Pumpkin Festival","1767 T","1259 Z",398,1370,-11,"Fairytale",561.765040504931,"heavy"
"2588-P",100,1219.5877960464,"CUGLA","Nottingham","California","USA","National Pumpkin Festival","1278 S","1571 S",380,1192,1,"Fairytale",553.195719295667,"heavy"
"2592-P",9,1219.57216515932,"GTJLP","New York","Florida","USA","Local Pumpkin Festival","1183 U","1229 S",373,1126,10,"Blue Doll",553.188629244547,"heavy"
"2742-P",71,1217.76251137163,"HZYFZ","New York","Florida","Australia","Regional Pumpkin Festival","1252 H","1371 F",365,1106,13,"Blue Doll",552.367784093422,"heavy"
"2028-P",46,1221.86033174675,"NIHKS","Paris","California","USA","Regional Pumpkin Festival","1504 C","1394 N",379,1142,2,"Big Max",554.226524150764,"heavy"
"2407-P",45,1212.71015353408,"JERJQ","Chicago","Texas","Australia","Regional Pumpkin Festival","1337 L","1629 L",375,1105,8,"Blue Doll",550.076073125875,"heavy"
"2562-P",88,1206.42276635505,"ULWJF","New York","Texas","China","National Pumpkin Festival","1708 V","1166 U",396,1325,-13,"Blue Doll",547.224162271842,"heavy"
"2800-P",69,1220.4466569405,"EVWSG","Los Angeles","New York","Australia","National Pumpkin Festival","1837 U","1678 N",387,1219,0,"Big Max",553.585292044452,"heavy"
"2540-P",87,1216.68914807122,"RUJSU","New York","Texas","China","Regional Pumpkin Festival","1597 L","1846 A",374,1094,15,"Ghost",551.880914689709,"heavy"
"2297-P",46,1210.33835492097,"KZBRS","Los Angeles","New York","USA","National Pumpkin Festival","1876 F","1768 P",371,1142,7,"Ghost",549.00024337089,"heavy"
"2523-P",100,1207.20067077521,"TKVKH","Paris","Florida","China","Local Pumpkin Festival","1638 O","1848 U",369,1129,5,"Blue Doll",547.577013781711,"heavy"
"2221-P",2,1194.88416248839,"DVSDP","Houston","Texas","USA","National Pumpkin Festival","1374 H","1455 M",392,1303,-7,"Big Max",541.990339593083,"heavy"
"2405-P",45,1206.71812230069,"MVZYG","Chicago","New York","USA","Local Pumpkin Festival","1648 Q","1943 D",375,1165,1,"Ghost",547.35813347533,"heavy"
"2719-P",19,1197.19119153451,"NHCEC","Nottingham","New York","Australia","Local Pumpkin Festival","1678 Q","1639 D",371,1101,6,"Big Max",543.036790366649,"heavy"
"2565-P",24,1193.74123226479,"ELEHO","Nottingham","New York","China","Local Pumpkin Festival","1764 Z","1535 N",359,1017,12,"Fairytale",541.471915163778,"heavy"
"2706-P",64,1201.45974265691,"WWQOM","Houston","New York","USA","Regional Pumpkin Festival","1158 Q","1384 W",392,1291,-13,"Blue Doll",544.972972588347,"heavy"
"2564-P",61,1184.66974649113,"MLSBU","Chicago","New York","USA","Local Pumpkin Festival","1097 D","1686 F",399,1389,-18,"Big Max",537.357158428832,"heavy"
"2826-P",17,1187.12765370104,"MNABS","Paris","New York","USA","National Pumpkin Festival","1192 F","1385 Q",386,1191,3,"Blue Doll",538.472046386354,"heavy"
"2228-P",34,1195.61113947257,"BWUIT","Paris","California","Australia","Local Pumpkin Festival","1892 K","1929 K",387,1279,-5,"Fairytale",542.32009080655,"heavy"
"2430-P",34,1186.00056646857,"TLZFQ","New York","Florida","China","National Pumpkin Festival","1995 N","1057 T",368,1079,10,"Fairytale",537.960808216952,"heavy"
"2913-P",43,1192.92039899807,"FDGSW","Los Angeles","California","Australia","Local Pumpkin Festival","1480 L","1289 H",390,1250,-3,"Blue Doll",541.099591456643,"heavy"
"2686-P",35,1177.57723220903,"RNOCU","New York","California","USA","Local Pumpkin Festival","1038 E","1402 L",378,1217,2,"Fairytale",534.140048063661,"heavy"
"2095-P",39,1190.92488644272,"NGITY","Houston","New York","USA","National Pumpkin Festival","1821 S","1854 A",367,1107,11,"Blue Doll",540.194442186537,"heavy"
"2629-P",58,1183.44404153805,"BPFGI","Los Angeles","New York","USA","National Pumpkin Festival","1384 P","1337 O",375,1180,-5,"Blue Doll",536.80118801378,"heavy"
"2674-P",77,1172.01506119501,"MQEMQ","Paris","Florida","China","National Pumpkin Festival","1111 W","1360 V",383,1238,-1,"Ghost",531.617089728948,"heavy"
"2691-P",97,1170.29900277127,"KQFSZ","Paris","Florida","China","Local Pumpkin Festival","1501 D","1187 G",375,1129,3,"Ghost",530.838698720811,"heavy"
"2106-P",84,1165.40843876544,"KXZJS","Houston","Florida","USA","National Pumpkin Festival","1344 L","1630 N",362,1078,4,"Ghost",528.620376200914,"heavy"
"2013-P",100,1174.76498251967,"EVJDE","Houston","Texas","USA","National Pumpkin Festival","1253 T","1274 D",400,1365,-13,"Blue Doll",532.864433060961,"heavy"
"2865-P",84,1173.28038218059,"TSCED","Nottingham","Texas","USA","Regional Pumpkin Festival","1491 Q","1873 R",379,1166,0,"Fairytale",532.191029674088,"heavy"
"2980-P",20,1172.51945118327,"QQEJI","Los Angeles","California","China","Regional Pumpkin Festival","1190 B","1970 U",383,1223,-8,"Big Max",531.845877179318,"heavy"
"2567-P",75,1158.51418863423,"ISWSN","Houston","Florida","Australia","National Pumpkin Festival","1743 O","1994 S",365,1038,8,"Blue Doll",525.493196941902,"heavy"
"2733-P",51,1158.21515747998,"GZOYN","Chicago","Florida","Australia","Local Pumpkin Festival","1790 M","1666 I",392,1261,-13,"Fairytale",525.357558691827,"heavy"
"2317-P",100,1147.73139911518,"CSRKX","Los Angeles","Florida","Australia","National Pumpkin Festival","1400 S","1241 P",372,1164,-4,"Blue Doll",520.60220588464,"heavy"
"2077-P",38,1134.16537285596,"SHBOB","New York","New York","USA","Local Pumpkin Festival","1571 U","1886 R",369,1143,-5,"Fairytale",514.448759877081,"heavy"
"2343-P",99,1137.79679189604,"VPRSJ","Los Angeles","Florida","USA","Local Pumpkin Festival","1233 T","1785 L",366,1036,5,"Big Max",516.095943847314,"heavy"
"2149-P",33,1133.29086017702,"STJBX","Los Angeles","Florida","Australia","Local Pumpkin Festival","1310 P","1895 L",376,1176,-1,"Big Max",514.052087598111,"heavy"
"2102-P",92,1123.268536699,"RZCYL","Nottingham","New York","USA","National Pumpkin Festival","1587 C","1291 C",363,1084,9,"Fairytale",509.506038135,"heavy"
"2298-P",90,1140.81673911028,"TWEEY","Houston","California","Australia","Local Pumpkin Festival","1326 I","1124 D",376,1200,-8,"Fairytale",517.465768862644,"heavy"
"2901-P",30,1137.72618842777,"JOREG","Houston","California","USA","National Pumpkin Festival","1961 G","1357 J",377,1162,-1,"Blue Doll",516.063918652785,"heavy"
"2727-P",20,1121.99319369253,"UKLEK","New York","Florida","USA","Local Pumpkin Festival","1576 F","1652 M",373,1134,4,"Big Max",508.927552277645,"heavy"
"2620-P",63,1133.30005907919,"QEVRM","Nottingham","Texas","Australia","Regional Pumpkin Festival","1167 X","1518 T",392,1273,-6,"Blue Doll",514.056260149954,"heavy"
"2317-P",44,1131.97295600362,"UBJUT","Houston","New York","Australia","Regional Pumpkin Festival","1698 R","1442 D",373,1131,-5,"Ghost",513.454296320166,"heavy"
"2266-P",33,1122.74204493314,"BWQQU","Los Angeles","California","China","National Pumpkin Festival","1899 X","1017 W",384,1180,-4,"Big Max",509.267225486936,"heavy"
"2738-P",81,1105.52200504299,"BZTJF","Paris","California","China","National Pumpkin Festival","1922 P","1058 D",369,1064,5,"Ghost",501.45634677512,"heavy"
"2133-P",12,1105.72773320135,"YSSIC","Nottingham","Florida","USA","Regional Pumpkin Festival","1576 Z","1839 Z",365,1053,10,"Big Max",501.549663498122,"heavy"
"2809-P",96,1118.43981346581,"INAWZ","Nottingham","Florida","USA","Local Pumpkin Festival","1898 X","1658 C",377,1118,-2,"Ghost",507.315766117746,"heavy"
"2390-P",71,1121.38185555115,"TPFEF","Nottingham","California","China","Local Pumpkin Festival","1438 A","1817 L",368,1097,-3,"Blue Doll",508.650253960995,"heavy"
"2657-P",26,1113.90822686814,"RFJNA","Nottingham","New York","Australia","Regional Pumpkin Festival","1160 S","1819 R",359,1030,7,"Fairytale",505.260273011323,"heavy"
"2342-P",62,1106.34458298199,"HBDYF","Los Angeles","New York","Australia","Regional Pumpkin Festival","1578 K","1955 B",362,1083,-1,"Big Max",501.829461852292,"heavy"
"2803-P",27,1108.50299755391,"NTTYX","Houston","New York","China","Regional Pumpkin Festival","1519 M","1718 B",369,1050,5,"Ghost",502.808502234232,"heavy"
"2611-P",13,1099.96228356939,"FSONX","Houston","California","China","National Pumpkin Festival","1815 P","1529 S",383,1195,-9,"Blue Doll",498.934499533253,"medium"
"2905-P",53,1096.62371161114,"IWIJO","Nottingham","New York","USA","Local Pumpkin Festival","1977 D","1561 U",364,1092,-3,"Fairytale",497.420148765027,"medium"
"2578-P",63,1103.35128811672,"QEHZT","Nottingham","California","China","Local Pumpkin Festival","1827 E","1648 R",369,1077,5,"Big Max",500.471726139108,"heavy"
"2936-P",45,1105.70754986536,"LUYNM","Los Angeles","California","China","Local Pumpkin Festival","1889 Z","1212 C",356,999,11,"Blue Doll",501.540508490908,"heavy"
"2144-P",30,1106.26452052779,"VDHPD","Chicago","Florida","China","Local Pumpkin Festival","1314 O","1457 S",369,1131,2,"Ghost",501.793146133915,"heavy"
"2908-P",74,1097.26178954542,"NNPYP","Nottingham","New York","China","Local Pumpkin Festival","1061 S","1444 P",350,911,26,"Fairytale",497.709576047721,"medium"
"2439-P",92,1101.20781806111,"ZSCUA","Houston","New York","USA","Local Pumpkin Festival","1906 G","1652 H",368,1061,7,"Big Max",499.499464475745,"medium"
"2778-P",1,1093.48355267383,"ZYCBP","Chicago","New York","China","Local Pumpkin Festival","1480 Y","1685 D",355,967,13,"Fairytale",495.995796629281,"medium"
"2436-P",95,1079.10131889787,"BGPYF","Chicago","New York","Australia","Regional Pumpkin Festival","1306 O","1683 Q",370,1127,-4,"Fairytale",489.472125119475,"medium"
"2659-P",71,1092.28848186787,"QXQNB","New York","New York","USA","National Pumpkin Festival","1148 K","1199 H",374,1148,-9,"Blue Doll",495.453721629633,"medium"
"2444-P",30,1083.74567386135,"FFARV","Houston","Florida","Australia","Local Pumpkin Festival","1348 T","1750 I",372,1157,-11,"Fairytale",491.578769096252,"medium"
"2179-P",86,1088.69023799431,"GNORC","Nottingham","Texas","China","Local Pumpkin Festival","1714 I","1719 Y",351,980,12,"Fairytale",493.821585661815,"medium"
"2199-P",96,1087.03295096289,"VPOOQ","Los Angeles","Texas","China","Regional Pumpkin Festival","1710 D","1286 N",352,964,10,"Big Max",493.069852908836,"medium"
"2268-P",50,1084.75764318928,"EMFYQ","Los Angeles","California","China","National Pumpkin Festival","1235 U","1894 X",363,1042,-2,"Fairytale",492.037790662459,"medium"
"2373-P",15,1067.63427053299,"GOJMG","Los Angeles","Florida","Australia","Local Pumpkin Festival","1487 C","1596 E",338,881,20,"Blue Doll",484.270759470384,"medium"
"2523-P",67,1066.14173754584,"UILLN","Nottingham","New York","China","National Pumpkin Festival","1292 O","1354 P",357,996,11,"Fairytale",483.593757894873,"medium"
"2767-P",21,1065.38858176023,"YPFYQ","New York","Texas","USA","Regional Pumpkin Festival","1842 W","1937 J",371,1075,-1,"Big Max",483.252132176811,"medium"
"2753-P",18,1066.49902871158,"BHQFL","Houston","Texas","Australia","Local Pumpkin Festival","1962 R","1882 M",352,990,3,"Ghost",483.755822441657,"medium"
"2221-P",98,1062.19527933095,"XRMRA","Houston","Texas","Australia","Local Pumpkin Festival","1000 V","1292 L",372,1141,-3,"Ghost",481.803674558572,"medium"
"2808-P",36,1061.99159148242,"RKNKN","Los Angeles","Florida","Australia","Local Pumpkin Festival","1303 N","1445 B",377,1183,-5,"Blue Doll",481.711283304543,"medium"
"2988-P",18,1062.86673740391,"NGPXH","New York","Florida","Australia","Local Pumpkin Festival","1226 L","1743 J",356,989,7,"Blue Doll",482.108242817497,"medium"
"2828-P",20,1063.94539833255,"KIMNY","Chicago","Florida","China","National Pumpkin Festival","1599 P","1927 W",361,1006,4,"Big Max",482.597515184958,"medium"
"2878-P",21,1058.20017063133,"XOWCO","Los Angeles","Texas","USA","National Pumpkin Festival","1503 O","1621 L",379,1169,-4,"Blue Doll",479.991523733588,"medium"
"2515-P",62,1050.80097222496,"UXLTO","Chicago","Texas","Australia","National Pumpkin Festival","1929 E","1831 B",348,925,15,"Ghost",476.635303789525,"medium"
"2767-P",56,1047.07873307914,"IPLHG","Houston","Florida","Australia","National Pumpkin Festival","1611 H","1109 Q",350,930,17,"Blue Doll",474.946924512248,"medium"
"2251-P",47,1062.03927583527,"WWCAA","Los Angeles","New York","China","Regional Pumpkin Festival","1569 K","1402 F",369,1109,-10,"Blue Doll",481.73291256318,"medium"
"2056-P",80,1048.21677972376,"FJBAK","Los Angeles","Florida","China","National Pumpkin Festival","1692 R","1678 Y",375,1120,-6,"Fairytale",475.463133787389,"medium"
